date,na,open,high,low,close,volume
2015.09.01,0:00,1.12086,1.12164,1.1073,1.10786,154360
2015.09.02,0:00,1.10748,1.10961,1.09905,1.10762,132620
2015.09.03,0:00,1.10807,1.10845,1.09566,1.09603,121134
2015.09.04,0:00,1.09581,1.10256,1.09131,1.09647,132346
2015.09.07,0:00,1.09761,1.10864,1.09671,1.10533,147302
2015.09.08,0:00,1.10442,1.11288,1.10299,1.10563,120238
2015.09.09,0:00,1.10541,1.10756,1.09327,1.09542,124369
2015.09.10,0:00,1.09565,1.12631,1.09499,1.12293,168382
2015.09.11,0:00,1.1231,1.12411,1.11763,1.12045,93919
2015.09.14,0:00,1.12019,1.13094,1.11853,1.12664,93027
2015.09.15,0:00,1.12638,1.13045,1.12191,1.12297,99073
2015.09.16,0:00,1.1224,1.13301,1.12054,1.1296,93799
2015.09.17,0:00,1.12911,1.13444,1.12588,1.12899,132350
2015.09.18,0:00,1.1287,1.13266,1.11958,1.12055,129793
2015.09.21,0:00,1.12238,1.13109,1.12206,1.12807,103976
2015.09.22,0:00,1.12766,1.1309,1.12291,1.12587,98725
2015.09.23,0:00,1.12603,1.12684,1.11509,1.1156,101260
2015.09.24,0:00,1.11536,1.11674,1.10078,1.10425,124155
2015.09.25,0:00,1.10205,1.11045,1.09878,1.09895,110324
2015.09.28,0:00,1.10249,1.10473,1.0972,1.10389,104250
2015.09.29,0:00,1.10358,1.10577,1.09655,1.09966,108448
2015.09.30,0:00,1.09844,1.10314,1.09559,1.09596,105274
2015.10.01,0:00,1.09566,1.10357,1.09429,1.09802,115201
2015.10.02,0:00,1.09762,1.10057,1.09051,1.09083,110830
2015.10.05,0:00,1.09065,1.09502,1.08663,1.09044,106594
2015.10.06,0:00,1.09035,1.09856,1.08717,1.0945,112294
2015.10.07,0:00,1.0944,1.0948,1.08603,1.08958,114877
2015.10.08,0:00,1.08944,1.09033,1.08446,1.08798,112800
2015.10.09,0:00,1.08635,1.09545,1.08625,1.09301,113188
2015.10.12,0:00,1.09421,1.09637,1.09157,1.09528,88815
2015.10.13,0:00,1.09538,1.09819,1.08808,1.0904,108582
2015.10.14,0:00,1.09003,1.09045,1.07198,1.07437,129847
2015.10.15,0:00,1.07451,1.07755,1.06367,1.06916,133790
2015.10.16,0:00,1.06868,1.07371,1.06194,1.06362,111633
2015.10.19,0:00,1.06601,1.0722,1.06402,1.0666,86659
2015.10.20,0:00,1.06666,1.07644,1.0641,1.07453,82425
2015.10.21,0:00,1.07445,1.08002,1.07107,1.07421,94721
2015.10.22,0:00,1.07391,1.07481,1.05938,1.06048,100008
2015.10.23,0:00,1.06029,1.07132,1.05621,1.06625,115566
2015.10.26,0:00,1.06817,1.07324,1.06668,1.06735,81753
2015.10.27,0:00,1.06658,1.07058,1.06067,1.06254,89742
2015.10.28,0:00,1.06242,1.06951,1.05083,1.06117,127503
2015.10.29,0:00,1.0601,1.06849,1.05579,1.05623,105874
2015.10.30,0:00,1.05563,1.05802,1.04953,1.05182,121173
2015.11.02,0:00,1.05317,1.06103,1.05102,1.05897,105440
2015.11.03,0:00,1.05875,1.07935,1.05238,1.07784,123353
2015.11.04,0:00,1.07804,1.08802,1.07701,1.08328,120188
2015.11.05,0:00,1.08267,1.08506,1.07624,1.07956,106860
2015.11.06,0:00,1.07992,1.08478,1.07618,1.07764,115850
2015.11.09,0:00,1.07731,1.0799,1.07425,1.07813,87829
2015.11.10,0:00,1.07532,1.0823,1.0726,1.07615,83551
2015.11.11,0:00,1.07587,1.07781,1.07279,1.07562,80529
2015.11.12,0:00,1.07347,1.0917,1.07346,1.08867,126326
2015.11.13,0:00,1.08846,1.09481,1.08754,1.08754,87821
2015.11.16,0:00,1.08601,1.09648,1.08325,1.0923,88334
2015.11.17,0:00,1.09162,1.10289,1.09116,1.0986,101662
2015.11.18,0:00,1.09729,1.10114,1.09336,1.09812,101632
2015.11.19,0:00,1.09777,1.10179,1.09351,1.09519,116689
2015.11.20,0:00,1.09295,1.10366,1.09095,1.10023,104189
2015.11.23,0:00,1.10123,1.1064,1.09971,1.10257,94138
2015.11.24,0:00,1.10275,1.10851,1.10146,1.10649,95305
2015.11.25,0:00,1.10554,1.10828,1.10174,1.10174,119992
2015.11.26,0:00,1.09963,1.10403,1.09536,1.09903,120400
2015.11.27,0:00,1.09844,1.10299,1.09751,1.09973,101635
2015.11.30,0:00,1.09988,1.10193,1.09672,1.09725,89701
2015.12.01,0:00,1.09533,1.09882,1.09228,1.09624,131675
2015.12.02,0:00,1.09468,1.10275,1.09446,1.09983,132932
2015.12.03,0:00,1.09871,1.10472,1.09646,1.09675,172959
2015.12.04,0:00,1.09678,1.10055,1.08569,1.08601,153512
2015.12.07,0:00,1.08808,1.0959,1.0866,1.09329,112901
2015.12.08,0:00,1.09219,1.0948,1.08413,1.08495,109651
2015.12.09,0:00,1.08417,1.09407,1.07044,1.07539,137717
2015.12.10,0:00,1.07478,1.08416,1.0705,1.07765,123646
2015.12.11,0:00,1.077,1.07834,1.06764,1.06808,106419
2015.12.14,0:00,1.0714,1.07433,1.06619,1.07078,107735
2015.12.15,0:00,1.07053,1.07202,1.0609,1.06247,117619
